,Company Name,Symbol,Exchange,Currency,Country,Sector,Industry,Website,Full-Time Employees,Insider Ownership (%),Institutional Ownership (%),Market Cap ($B),Enterprise Value ($B),Shares Outstanding (B),Float Shares (B),Book Value/Share ($),EV/EBITDA,EV/Revenue,Current Price ($),Open ($),Previous Close ($),Day High ($),Day Low ($),52-Week High ($),52-Week Low ($),50-Day MA ($),200-Day MA ($),Volume,Avg Volume,EPS (TTM),EPS (Forward),PE Ratio (Trailing),PE Ratio (Forward),PEG Ratio,Profit Margin (%),Operating Margin (%),ROA (%),ROE (%),Operating CF ($B),Free CF ($B),CapEx ($B),Total Debt ($B),Debt to Equity,Quick Ratio,Current Ratio,Dividend Rate ($),Dividend Yield (%),Payout Ratio,Ex-Dividend Date,Revenue Growth YoY,Earnings Growth YoY,Earnings Date,Last Split Date,Last Split Factor
10,"Advanced Micro Devices, Inc.",AMD,NMS,USD,United States,Technology,Semiconductors,https://www.amd.com,28000,0.52,68.07,233.17,230.6,1.621,1.61,35.82,39.23,8.31,143.81,144.16,143.68,147.75,141.64,187.28,76.48,111.84,124.1,60975055,46934854,1.37,5.1,104.97,28.2,N/A,8.02%,10.84%,2.56%,3.9%,3.46,3.36,N/A,4.73,8.17,1.76,2.8,N/A,N/A,N/A,798940800,35.9%,525.2%,N/A,966902400,2:1
11,Amgen Inc.,AMGN,NMS,USD,United States,Healthcare,Drug Manufacturers - General,https://www.amgen.com,28000,0.22,83.66,149.01,197.59,0.538,0.536,11.54,12.56,5.79,277.13,278.57,279.11,281.32,275.71,346.85,253.3,281.01,294.65,2677856,3065932,10.97,20.67,25.26,13.41,N/A,17.39%,28.73%,7.04%,105.67%,12.19,13.09,N/A,57.38,924.46,0.74,1.17,9.52,344.0,83.23%,1747353600,9.4%,N/A,N/A,943228800,2:1
12,N/A,AMRS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,"Amazon.com, Inc.",AMZN,NMS,USD,United States,Consumer Cyclical,Internet Retail,https://www.aboutamazon.com,1560000,8.72,65.49,2370.64,2434.02,10.616,9.572,28.82,19.3,3.74,223.3,219.92,217.12,223.3,216.74,242.52,151.61,200.95,204.93,106482541,50408891,6.14,6.15,36.37,36.31,N/A,10.14%,11.82%,7.63%,25.24%,113.9,39.27,N/A,157.95,51.64,0.81,1.05,N/A,N/A,N/A,N/A,8.6%,62.2%,N/A,1654473600,20:1
14,"ANSYS, Inc.",ANSS,NMS,USD,United States,Technology,Software - Application,https://www.ansys.com,6600,0.53,94.95,30.52,29.56,0.088,0.087,70.29,33.66,11.44,347.19,343.87,343.4,351.3,343.67,363.03,275.06,332.77,331.65,663169,715253,6.74,11.01,51.51,31.53,N/A,22.95%,11.66%,6.06%,10.23%,0.91,0.77,N/A,0.86,13.93,3.56,3.66,N/A,N/A,N/A,N/A,8.2%,47.7%,N/A,1181001600,2:1
15,Appian Corporation,APPN,NGM,USD,United States,Technology,Software - Infrastructure,https://www.appian.com,2033,6.23,77.66,2.15,2.27,0.043,0.033,-0.43,-89.97,3.58,29.0,28.47,28.37,29.05,28.26,43.33,24.0,30.61,32.9,662869,611493,-0.83,0.18,N/A,161.11,N/A,-9.55%,-0.5%,-3.71%,N/A,0.03,0.05,N/A,0.31,N/A,1.04,1.25,N/A,N/A,N/A,N/A,11.1%,N/A,N/A,N/A,N/A
16,Arm Holdings plc,ARM,NMS,USD,United Kingdom,Technology,Semiconductors,https://www.arm.com,8330,0.15,95.12,175.27,172.34,1.059,0.131,6.47,173.59,43.01,165.46,159.0,158.15,166.33,158.76,188.75,80.0,128.78,135.2,7391488,5364606,0.74,2.06,223.59,80.32,N/A,19.77%,33.04%,6.16%,13.05%,0.4,-0.03,N/A,0.36,5.21,5.08,5.2,N/A,N/A,N/A,N/A,33.7%,-4.1%,N/A,N/A,N/A
17,ASML Holding N.V.,ASML,NMS,USD,Netherlands,Technology,Semiconductor Equipment & Materials,https://www.asml.com,43129,0.01,18.08,312.97,306.83,0.393,0.392,44.61,27.31,9.99,795.95,802.93,798.09,805.49,788.45,1110.09,578.51,731.1,727.26,1198201,1628604,25.87,26.7,30.77,29.81,N/A,28.34%,35.37%,15.33%,55.62%,11.36,7.83,N/A,3.68,21.03,0.81,1.52,8.36,105.0,28.53%,1745798400,46.3%,92.9%,N/A,1191196800,8:9
18,American Express Company,AXP,NYQ,USD,United States,Financial Services,Credit Services,https://www.americanexpress.com,75100,21.77,65.18,222.22,222.99,0.701,0.547,44.51,N/A,3.59,317.19,314.08,311.42,320.12,313.1,326.27,220.43,287.29,286.02,3097939,3251827,14.31,15.12,22.17,20.98,N/A,16.56%,21.2%,3.73%,34.27%,13.26,N/A,N/A,53.15,170.35,1.57,1.57,3.28,103.0,20.39%,1751500800,8.8%,9.3%,N/A,1128297600,10000:8753
19,The Boeing Company,BA,NYQ,USD,United States,Industrials,Aerospace & Defense,https://www.boeing.com,172000,0.08,74.5,161.77,194.0,0.754,0.722,-4.42,-25.23,2.79,214.55,205.11,202.58,214.81,204.38,218.8,128.88,196.21,171.37,14772942,9455637,-17.96,0.47,N/A,456.49,N/A,-16.58%,2.77%,-4.1%,N/A,-10.33,-7.94,N/A,55.88,N/A,0.35,1.23,N/A,N/A,N/A,1581552000,17.7%,N/A,N/A,865814400,2:1
20,Bank of America Corporation,BAC,NYQ,USD,United States,Financial Services,Banks - Diversified,https://www.bankofamerica.com,213000,8.5,66.72,354.9,342.85,7.532,7.504,36.39,N/A,3.52,47.12,47.45,47.46,47.67,46.91,48.08,33.07,43.04,43.21,34518840,47521651,3.35,3.66,14.07,12.87,N/A,28.58%,31.35%,0.84%,9.46%,4.55,N/A,N/A,773.84,N/A,N/A,N/A,1.04,221.0,30.45%,1749168000,5.7%,18.4%,N/A,1093824000,2:1
21,Baxter International Inc.,BAX,NYQ,USD,United States,Healthcare,Medical Instruments & Supplies,https://www.baxter.com,38000,0.29,98.42,15.6,23.58,0.513,0.511,13.8,12.06,2.19,30.39,30.6,30.5,30.62,30.2,40.49,26.25,30.45,32.76,3677978,4186795,-0.52,2.88,N/A,10.55,N/A,-5.2%,9.75%,2.5%,-3.51%,0.66,1.7,N/A,10.31,146.14,1.15,2.02,0.68,224.0,464.0%,1748563200,5.4%,237.9%,N/A,1435708800,1841:1000
22,"Bath & Body Works, Inc.",BBWI,NYQ,USD,United States,Consumer Cyclical,Specialty Retail,https://www.bbwinc.com,8975,0.36,101.29,6.36,10.71,0.212,0.211,-6.84,6.85,1.46,30.06,29.37,29.14,30.27,29.26,41.87,24.94,29.47,32.45,3736717,5521706,3.72,3.52,8.08,8.54,N/A,11.11%,14.68%,15.94%,N/A,1.0,0.65,N/A,4.98,N/A,0.57,1.41,0.8,266.0,21.51%,1749168000,2.9%,28.9%,N/A,1627948800,1237:1000
23,"Best Buy Co., Inc.",BBY,NYQ,USD,United States,Consumer Cyclical,Specialty Retail,https://bestbuy.com,85000,7.48,88.41,14.42,17.14,0.211,0.195,13.08,6.61,0.41,68.22,69.02,68.43,69.47,67.2,103.71,54.99,68.96,82.08,4693108,4331633,4.1,6.84,16.64,9.97,N/A,2.13%,3.74%,7.51%,30.21%,1.98,1.39,N/A,4.06,146.91,0.28,1.02,3.8,557.0,91.95%,1750204800,-0.9%,-15.9%,N/A,1123113600,3:2
24,"Becton, Dickinson and Company",BDX,NYQ,USD,United States,Healthcare,Medical Instruments & Supplies,https://www.bd.com,70000,0.56,92.73,48.97,67.56,0.287,0.286,88.07,12.12,3.24,170.86,170.38,169.97,172.22,169.79,251.99,163.33,177.72,217.1,3070276,3109554,5.16,15.73,33.11,10.86,N/A,7.18%,16.01%,3.69%,5.89%,3.3,3.5,N/A,19.27,76.34,0.48,1.13,4.16,243.0,77.13%,1749427200,4.5%,-42.2%,N/A,1648771200,1025:1000
25,Bloom Energy Corporation,BE,NYQ,USD,United States,Industrials,Electrical Equipment & Parts,https://www.bloomenergy.com,2127,12.87,92.38,5.15,5.9,0.232,0.203,2.49,56.04,3.77,22.18,22.65,22.33,22.77,21.86,29.82,9.02,19.51,19.43,2996052,5846617,0.02,0.37,1109.0,59.95,N/A,0.29%,-5.85%,1.35%,1.09%,0.13,0.08,N/A,1.53,253.64,2.2,3.44,N/A,N/A,N/A,N/A,38.6%,N/A,N/A,N/A,N/A
26,Biogen Inc.,BIIB,NMS,USD,United States,Healthcare,Drug Manufacturers - General,https://www.biogen.com,7605,0.22,92.96,18.47,22.5,0.147,0.146,115.9,7.3,2.29,126.08,127.2,126.92,128.25,125.6,238.0,110.04,125.28,149.61,1092445,1645679,10.12,16.66,12.46,7.57,N/A,15.07%,28.05%,5.43%,9.19%,2.58,3.43,N/A,6.62,39.0,0.87,1.44,N/A,N/A,N/A,N/A,6.1%,-39.3%,N/A,979776000,3:1
27,"BlackRock, Inc.",BLK,NYQ,USD,United States,Financial Services,Asset Management,https://www.blackrock.com,22600,2.01,82.75,162.33,170.85,0.155,0.144,309.87,20.3,8.15,1047.82,1035.6,1030.79,1050.0,1034.36,1084.22,773.74,958.3,975.56,797698,728224,41.18,49.1,25.44,21.34,N/A,30.09%,34.74%,3.67%,13.93%,4.24,5.57,N/A,14.26,28.41,1.3,1.97,20.84,199.0,49.82%,1749081600,11.6%,-8.0%,N/A,N/A,N/A
28,Ballard Power Systems Inc.,BLDP,NGM,USD,Canada,Industrials,Specialty Industrial Machinery,https://www.ballard.com,887,15.52,25.6,0.44,-0.12,0.3,0.253,2.18,0.8,-1.67,1.46,1.53,1.51,1.54,1.43,2.71,1.0,1.38,1.46,6392744,9040585,-1.01,-0.56,N/A,-2.61,N/A,N/A,-187.42%,-10.56%,-37.81%,-0.11,-0.09,N/A,0.02,3.56,8.09,9.0,N/A,N/A,N/A,N/A,6.5%,N/A,N/A,896832000,3:1
29,"bluebird bio, Inc.",BLUE,NMS,USD,United States,Healthcare,Biotechnology,https://www.bluebirdbio.com,248,0.71,39.68,0.05,0.19,0.01,0.01,-5.91,-1.25,1.8,4.97,4.74,4.97,4.97,4.97,28.6,3.2,4.45,7.21,1245197,647967,-20.59,-0.65,N/A,-0.99,N/A,-192.39%,-55.56%,-28.37%,-546.54%,-0.23,-0.06,N/A,0.22,N/A,0.26,0.55,N/A,N/A,N/A,N/A,108.4%,N/A,N/A,1734048000,1:20
30,BP p.l.c.,BP,NYQ,USD,United Kingdom,Energy,Oil & Gas Integrated,https://www.bp.com,100500,0.0,12.68,78.75,535.53,2.595,15.087,3.69,21.04,2.89,30.34,30.38,30.29,30.56,30.18,37.39,25.22,29.46,30.75,9878321,12018285,-0.41,3.77,N/A,8.05,N/A,-0.64%,8.57%,2.03%,-0.24%,25.12,11.54,N/A,71.13,91.25,0.77,1.22,1.92,633.0,1316.38%,1747353600,-4.1%,-67.8%,N/A,938995200,2:1
31,British American Tobacco p.l.c.,BTI,NYQ,USD,United Kingdom,Consumer Defensive,Tobacco,https://www.bat.com,48989,5.26,10.53,103.17,134.92,2.189,1.86,21.77,11.41,5.22,46.96,47.1,47.34,47.13,46.57,49.58,30.94,44.99,39.7,6563417,6859546,1.86,4.7,25.25,9.99,N/A,11.86%,40.91%,5.15%,6.18%,10.12,10.28,N/A,36.95,73.91,0.51,0.76,3.0,638.0,171.33%,1759449600,-2.3%,N/A,N/A,1487030400,2:1
32,BioNTech SE,BNTX,NMS,USD,Germany,Healthcare,Biotechnology,https://www.biontech.de,6772,62.69,22.23,25.65,11.84,0.24,0.097,78.73,-11.61,4.31,106.72,106.07,106.14,107.66,105.73,131.49,76.53,102.67,109.48,489787,1221419,-3.72,-3.9,N/A,-27.36,N/A,-27.89%,-270.46%,-3.67%,-3.94%,-0.26,-0.34,N/A,0.29,1.55,9.86,10.18,N/A,N/A,N/A,1654128000,-2.6%,N/A,N/A,N/A,N/A
33,Citigroup Inc.,C,NYQ,USD,United States,Financial Services,Banks - Diversified,https://www.citigroup.com,229000,0.24,79.59,157.6,7.62,1.868,1.862,103.9,N/A,0.11,84.38,84.49,84.37,84.56,83.81,84.79,53.51,74.01,70.94,21818812,15740864,6.33,7.19,13.33,11.74,N/A,18.62%,28.7%,0.54%,6.44%,-67.55,N/A,N/A,801.25,N/A,N/A,N/A,2.24,265.0,34.91%,1746403200,2.5%,24.6%,N/A,1304899200,1:10
34,Camtek Ltd.,CAMT,NGM,USD,Israel,Technology,Semiconductor Equipment & Materials,https://www.camtek.com,656,38.37,53.37,3.85,3.63,0.046,0.028,12.89,27.61,8.05,84.46,83.37,84.1,85.39,82.5,140.5,47.41,69.33,75.62,440268,418996,2.61,3.15,32.36,26.81,N/A,28.4%,27.56%,8.54%,24.82%,N/A,N/A,N/A,0.2,33.71,4.09,5.28,1.33,221.0,N/A,1712102400,22.3%,37.3%,N/A,N/A,N/A
35,Caterpillar Inc.,CAT,NYQ,USD,United States,Industrials,Farm & Heavy Construction Machinery,https://www.caterpillar.com,112900,0.22,72.24,180.93,217.06,0.47,0.469,38.35,14.68,3.43,384.71,383.02,381.88,387.49,382.75,418.5,267.3,339.77,359.65,2588590,2897464,20.51,22.15,18.76,17.37,N/A,15.71%,18.45%,9.4%,55.65%,11.27,6.82,N/A,38.59,213.55,0.69,1.32,6.04,157.0,26.98%,1753056000,-9.8%,-27.0%,N/A,1121299200,2:1
36,N/A,CELG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,"ChargePoint Holdings, Inc.",CHPT,NYQ,USD,United States,Consumer Cyclical,Specialty Retail,https://www.chargepoint.com,1395,0.93,42.69,0.34,0.47,0.462,0.426,0.26,-2.34,1.16,0.74,0.77,0.75,0.81,0.74,2.44,0.51,0.69,0.95,14051330,15179404,-0.59,-0.19,N/A,-3.88,N/A,-64.36%,-55.14%,-14.74%,-132.35%,-0.12,-0.01,N/A,0.33,275.76,0.97,1.82,N/A,N/A,N/A,N/A,-8.8%,N/A,N/A,N/A,N/A
38,Cincinnati Financial Corporation,CINF,NMS,USD,United States,Financial Services,Insurance - Property & Casualty,https://www.cinfin.com,5624,1.58,70.38,22.86,22.62,0.156,0.153,87.77,11.47,2.06,146.23,145.37,145.76,146.63,144.62,161.75,114.75,144.82,142.78,791100,630195,9.18,7.33,15.93,19.95,N/A,13.19%,-4.48%,3.22%,10.97%,2.61,1.23,N/A,0.88,6.4,0.86,1.09,3.48,238.0,35.95%,1750636800,-12.6%,N/A,N/A,1112572800,105:100
39,Colgate-Palmolive Company,CL,NYQ,USD,United States,Consumer Defensive,Household & Personal Products,https://www.colgatepalmolive.com,34000,0.17,86.31,71.89,79.22,0.81,0.76,0.45,16.3,3.97,88.71,87.38,87.79,88.9,87.74,109.3,85.32,91.02,93.07,6852413,5479104,3.53,3.86,25.13,22.98,N/A,14.52%,21.77%,16.02%,451.26%,4.03,2.88,N/A,8.27,1128.1,0.44,0.85,2.08,234.0,56.66%,1752796800,-3.0%,2.4%,N/A,1368662400,2:1
40,Coherent Corp.,COHR,NYQ,USD,United States,Technology,Scientific & Technical Instruments,https://www.coherent.com,26157,1.14,94.52,13.56,19.43,0.155,0.126,34.46,18.87,3.47,87.23,89.28,89.88,89.84,86.08,113.6,45.58,74.93,84.97,2543434,3613779,-0.22,4.36,N/A,20.01,N/A,1.73%,9.71%,2.02%,1.0%,0.67,0.53,N/A,3.94,48.29,1.27,2.47,N/A,N/A,N/A,N/A,23.9%,N/A,N/A,1309132800,2:1
41,"Coinbase Global, Inc.",COIN,NMS,USD,United States,Financial Services,Financial Data & Stock Exchanges,https://www.coinbase.com,3772,2.03,58.05,90.02,86.56,0.211,0.208,41.12,109.53,12.99,353.43,369.6,369.21,372.49,346.66,382.0,142.58,245.45,237.22,28741310,12901506,5.34,3.57,66.19,99.0,N/A,22.03%,1.48%,0.22%,15.84%,1.96,0.31,N/A,4.59,43.89,1.2,2.52,N/A,N/A,N/A,N/A,23.5%,-94.5%,N/A,N/A,N/A
42,Costco Wholesale Corporation,COST,NMS,USD,United States,Consumer Defensive,Discount Stores,https://www.costco.com,333000,0.2,72.28,436.89,430.4,0.443,0.442,61.16,34.59,1.6,985.14,982.24,982.91,993.14,980.3,1078.23,793.0,1003.31,960.24,2065867,2316414,17.63,19.68,55.88,50.06,N/A,2.92%,4.0%,8.79%,32.08%,12.43,5.91,N/A,8.36,30.81,0.47,1.01,5.2,53.0,27.11%,1746144000,8.0%,13.2%,N/A,947808000,2:1
43,Canadian Pacific Kansas City Limited,CP,NYQ,USD,Canada,Industrials,Railroads,https://www.cpkcr.com,19992,0.03,75.41,73.22,95.82,0.93,0.874,51.85,12.35,6.46,78.31,78.87,78.83,79.42,76.38,87.72,66.49,78.08,77.37,4732945,3402662,3.01,3.6,26.02,21.75,N/A,26.0%,37.95%,4.29%,8.27%,5.41,2.17,N/A,22.65,46.0,0.65,0.81,0.66,84.0,18.45%,1750982400,7.8%,16.9%,N/A,1620950400,5:1
44,"Salesforce, Inc.",CRM,NYQ,USD,United States,Technology,Software - Application,https://www.salesforce.com,76453,2.61,83.87,261.39,256.0,0.956,0.931,63.33,22.84,6.63,273.42,271.86,270.74,274.17,269.43,369.0,230.0,269.84,296.63,8338190,7733651,6.4,11.13,42.72,24.57,N/A,16.08%,20.12%,5.09%,10.31%,13.32,14.43,N/A,12.02,19.81,0.9,1.07,1.66,61.0,25.29%,1750204800,7.6%,1.9%,N/A,1366243200,4:1
45,CRISPR Therapeutics AG,CRSP,NGM,USD,Switzerland,Healthcare,Biotechnology,https://www.crisprtx.com,393,1.76,76.58,4.1,2.47,0.086,0.086,21.18,-5.42,65.44,47.49,46.72,46.7,47.67,46.2,63.68,30.04,39.36,43.14,10186310,2569198,-4.49,-5.04,N/A,-9.42,N/A,N/A,-17158.84%,-12.88%,-19.71%,-0.31,-0.19,N/A,0.22,11.99,15.53,15.63,N/A,N/A,N/A,N/A,71.6%,N/A,N/A,N/A,N/A
46,"CrowdStrike Holdings, Inc.",CRWD,NMS,USD,United States,Technology,Software - Infrastructure,https://www.crowdstrike.com,10363,3.17,74.0,124.46,120.67,0.249,0.245,13.86,-9432.38,29.18,499.33,503.88,505.22,505.37,495.57,506.35,200.81,448.48,373.15,3400602,3903312,-0.7,4.27,N/A,116.94,N/A,-4.17%,-10.7%,-1.47%,-5.74%,1.38,1.31,N/A,0.79,22.5,1.65,1.85,N/A,N/A,N/A,N/A,19.8%,N/A,N/A,N/A,N/A
47,"Cisco Systems, Inc.",CSCO,NMS,USD,United States,Technology,Communication Equipment,https://www.cisco.com,90400,0.07,81.31,271.85,286.21,3.96,3.954,11.6,19.41,5.14,68.65,68.89,68.95,69.22,68.34,69.22,44.5,62.22,59.3,24701011,22599787,2.45,3.9,28.02,17.6,N/A,17.6%,23.29%,6.2%,21.36%,13.69,11.6,N/A,30.74,66.93,0.71,0.95,1.64,239.0,65.71%,1751500800,11.4%,34.8%,N/A,953769600,2:1
48,CSX Corporation,CSX,NMS,USD,United States,Industrials,Railroads,https://www.csx.com,23400,0.25,80.11,61.82,80.41,1.879,1.874,6.48,11.84,5.63,32.91,32.58,32.57,32.98,32.45,37.1,26.22,30.48,32.22,18260124,16256732,1.68,2.03,19.59,16.21,N/A,22.66%,30.62%,7.45%,26.12%,5.44,2.12,N/A,19.73,162.01,0.73,0.88,0.52,158.0,29.17%,1748563200,-7.0%,-24.4%,N/A,1624924800,3:1
49,N/A,CTIC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,CVS Health Corporation,CVS,NYQ,USD,United States,Healthcare,Healthcare Plans,https://www.cvshealth.com,219000,1.07,87.41,86.64,155.38,1.265,1.262,60.96,11.14,0.41,68.49,67.99,68.14,68.82,67.87,72.51,43.56,65.02,60.27,5937005,9865006,4.19,6.48,16.35,10.57,N/A,1.4%,3.5%,2.31%,6.93%,8.76,6.53,N/A,81.21,105.32,0.59,0.82,2.66,388.0,63.48%,1745280000,6.9%,60.2%,N/A,1118102400,2:1
51,Chevron Corporation,CVX,NYQ,USD,United States,Energy,Oil & Gas Integrated,https://www.chevron.com,45298,6.86,70.74,249.08,276.99,1.732,1.623,85.46,7.19,1.42,143.79,144.55,144.44,144.66,142.56,168.96,132.04,139.98,149.68,6216977,9976561,8.76,11.04,16.41,13.02,N/A,8.03%,10.6%,5.23%,10.08%,29.85,13.52,N/A,29.68,19.78,0.68,1.08,6.84,476.0,75.43%,1747612800,-1.0%,-32.7%,N/A,1095033600,2:1
52,"Clearway Energy, Inc.",CWEN,NYQ,USD,United States,Utilities,Utilities - Renewable,https://investor.clearwayenergy.com,60,1.46,91.19,6.38,15.17,0.083,0.117,16.49,14.45,10.79,32.14,32.16,32.11,32.31,31.59,32.64,24.02,30.09,28.31,1324847,941950,0.8,N/A,40.17,N/A,N/A,6.69%,1.01%,1.0%,-2.31%,0.78,0.74,N/A,8.22,151.68,0.73,1.52,1.75,546.0,210.31%,1748822400,13.3%,N/A,N/A,N/A,N/A
